,A,B,C,D,E,F,G,H
9.85798,0.014700631968562299,0.04666631365148309,0.01717191559387454,0.12392505504672764,0.06509912211811131,0.13351238556506378,0.40303737191509076,0.4164094012519004
10.0,0.0,0.02516134010560063,0.026904246904121777,0.16071651441444218,0.052920560118995055,0.10604901977263465,0.40853347396889406,0.40694795933668654
10.06202,0.0008258470451296331,0.044736796469673754,0.0,0.07372935902210112,0.054176346472890276,0.11864975977186112,0.4104817126994977,0.36440561057642146
10.25798,0.0,0.007348897426875015,0.026988267127346456,0.11815503261785446,0.03567055692879589,0.06907692701033036,0.39071050197227253,0.36214365365054524
10.4,0.009384234644805138,0.0,0.0,0.11938793573060864,0.08104939272227271,0.11542162491437162,0.41301779851294895,0.40891023747818844
10.46202,0.0,0.026376785365576482,0.00555404773053393,0.10535921550302635,0.08080513415234386,0.10736682849930332,0.4372803766801794,0.3913929745580908
10.65798,0.0010073400101334232,0.0,0.033111971745583293,0.10436981824969312,0.06382229436341066,0.10212122178912643,0.43593274706639074,0.397094864097739
10.8,0.017674734196555263,0.043282199391709686,0.013854267431374398,0.09047693196338516,0.06209395896866906,0.10982268374952298,0.4458335271467652,0.370366155876126
10.86202,0.014581963152040581,0.022953667603135483,0.03527438755667407,0.0948504947851178,0.03227175348986275,0.13399887785126396,0.4031418158757721,0.35740222028576574
11.05798,0.0,0.03937472258336956,0.018408504507071474,0.10021659315783744,0.08059346813338467,0.16333186417475393,0.3833068091249537,0.3862302605563327
11.2,0.005007437526289568,0.006716896792215141,0.0,0.11595226152347746,0.05771477543115784,0.1169430537823241,0.3569579564265028,0.36886881699815793
11.26202,0.029118115672239233,0.018389619291003915,0.011269091711417272,0.11941993399229045,0.05764126360455892,0.11149676063215834,0.38872098386361487,0.40175962827517214
11.45798,0.0,0.04281907280859702,0.001093813822904811,0.05275009630869656,0.07382583508633218,0.10462185956850736,0.3995687533242284,0.4076091529978881
11.6,0.0,0.0,0.0010552413210646568,0.06702476037443755,0.09482879456693272,0.0989671982630297,0.39414030051900023,0.39949863334012736
11.66202,0.0,0.039039158189023995,0.0,0.08694875289757562,0.04879659984992696,0.12041866512857684,0.3975037603792137,0.38822744622434396
11.85798,0.0,0.0,0.0,0.11806911712633522,0.046128924035575454,0.10008968727312585,0.4451934630006779,0.3991599668284013
12.0,0.025329167440758426,0.01671843892333139,0.008281768644597442,0.07643050995792741,0.06705189462438979,0.13103284896016895,0.40639960954517607,0.4013079308330299
12.06202,0.0,0.015157276206848208,0.004234955432154846,0.04693306121260608,0.03831399564300476,0.11227723900941147,0.4138647099538762,0.39832431367010107
12.25798,0.0,0.0063484839264542365,0.003264398573525742,0.10951889110961185,0.06496386398293866,0.06303553944755402,0.42013717077123947,0.40821308957326446
12.4,0.0,0.0,0.009428725552783023,0.06865988887944696,0.0286013844093939,0.059831054022857266,0.38611240694952503,0.43784045249546405
12.46202,0.015564531868722573,0.015576935264823897,0.0,0.08512347082325931,0.022132494095575835,0.05511919669743931,0.3948995717526188,0.37030223737302004
12.65798,0.01999764843703548,0.0,0.0,0.08839976949558855,0.06213562445107914,0.07513677378308407,0.41353946590778523,0.4120741730834106
12.8,0.0,0.01601653840565537,0.015067655385025344,0.07279457135767929,0.044447599534344545,0.09949682912670503,0.4304442681484163,0.405874818845867
12.86202,0.0356056513773703,0.02891939846429496,0.017738184588024213,0.08734974304135877,0.06175415135318295,0.12860443602484062,0.4122107824606793,0.3892265935315664
13.05798,0.03262174273678479,0.0,0.0,0.10030232884695764,0.07010409982372799,0.08340639844074259,0.3878366878310906,0.4125625144106346
13.2,0.014752242387499361,0.025015456364139682,0.010778622568859184,0.08585394690646757,0.02578366128121793,0.07613981620002573,0.35158925533701413,0.3929288739789492
13.26202,0.0,0.009522710464375864,0.0006434040906866112,0.057269208852322444,0.08085043199893029,0.10204283722725586,0.3854113651236417,0.40510190354446735
13.45798,0.0,0.015262365246087515,0.007611962268272222,0.08156713721485946,0.09469045005146659,0.06606189796569724,0.38680809507785296,0.4333947469738043
13.6,0.007894145348826353,0.008524188781542884,0.0,0.06395156843345348,0.017800602671647847,0.11184734907433304,0.39796950712092616,0.42202642078213104
13.66202,0.02066286631259552,0.0007116054144817273,0.014304411408259705,0.09487930905502295,0.06980479764983306,0.06685909976769214,0.3869082708036448,0.43059128766691657
13.85798,0.0,0.001721751514457321,0.019479485410899087,0.08673545867532866,0.0699759642299036,0.05654806677769923,0.4269017551769294,0.40090373072931007
14.0,0.0033766190190753667,0.0055530335409967185,0.042851773699397064,0.105812942919566,0.09842148173670331,0.12430036270120037,0.365106382353687,0.4411447866270844
14.06202,0.0,0.022026231933500093,0.04839545497175662,0.1312225793804094,0.06339829276145638,0.07954956011982037,0.3755832087554065,0.40793896085568265
14.25798,0.016666542011701577,0.010280139721959309,0.0,0.03436643296250514,0.047445811078474134,0.06803703567737936,0.36686073945212216,0.4063192438828709
14.4,0.0,0.0,0.003490107539043338,0.074804518623215,0.05859180822439837,0.08384042596259488,0.3598697656447728,0.4332113097406636
14.46202,0.004861180503092803,0.00027788168524488406,0.0,0.09370755126570338,0.058886999467501845,0.08862349201126954,0.3924841645569457,0.44182309897824473
