,state,fe,cp,T
C,1,48,2,710.9266897812
C,2,48,2,372.0656624673
C,3,48,2,371.2668001343
C,1,48,3,710.4578252384
C,2,48,3,372.8042937764
C,3,48,3,371.2143899747
C,1,49,1,710.5459571846
C,2,49,1,372.4251468868
C,3,49,1,371.4350727502
C,1,49,2,710.4723108049
C,2,49,2,372.391918504
C,3,49,2,371.4869632739
C,1,49,3,710.7507481183
C,2,49,3,372.1294705382
C,3,49,3,370.8536772694
C,1,50,1,710.679214543
C,2,50,1,372.5422907523
C,3,50,1,371.1546976629
C,1,50,2,710.283453521
C,2,50,2,372.2027310713
C,3,50,2,371.5176204817
C,1,50,3,710.2576315917
C,2,50,3,372.65542012
C,3,50,3,371.5716438889
