,A2
3.272479,0.0004966985517818092
3.288841,0.0004948920558270351
3.3007,0.0004935869149225912
3.305863,0.0004930197415282131
3.322177,0.0004912319842965668
3.334,0.0004899403694226755
3.339163,0.0004893773862195816
3.355477,0.0004876028366680642
3.3673,0.00048632076404957637
3.372479,0.0004857602628986607
3.388841,0.00048399354957371043
3.4007,0.0004827171504648583
3.405863,0.0004821624673554071
3.422177,0.0004804140800896739
3.434,0.00047915090914131
3.439179,0.0004785986714909993
3.455541,0.00047685800492189577
3.4674,0.00047560042383828957
3.472563,0.0004750539184537245
3.488877,0.0004733313077616963
3.5007,0.00047208675981504956
3.505863,0.00047154429192963727
3.522177,0.00046983440762495286
3.534,0.00046859905421036747
3.539179,0.00046805897793022707
3.555541,0.000466356644297094
3.5674,0.00046512675764733924
3.572563,0.00046459228739706464
3.588877,0.00046290761201472284
3.6007,0.00046169047148635946
3.605879,0.0004611583575817832
3.622241,0.0004594811215510091
3.6341,0.00045826936719064895
3.639263,0.0004577427766659187
3.655577,0.0004560829385493319
3.6674,0.0004548837423935646
3.672563,0.00045436104224001365
3.688877,0.0004527134667564741
3.7007,0.0004515231300805941
3.705879,0.0004510027343813279
3.722241,0.0004493624344200552
3.7341,0.0004481773652980583
3.739263,0.00044766237134284096
3.755577,0.00044603908615912136
3.7674,0.0004448662986851034
3.772579,0.00044435357520946906
3.788941,0.0004427374582845743
3.8008,0.00044156986070459077
3.805963,0.00044106245933478303
3.822277,0.0004394631063376004
3.8341,0.0004383076093365553
3.839263,0.0004378039565713515
3.855577,0.0004362164193522989
3.8674,0.0004350694589883929
3.872579,0.0004345680267023012
3.888941,0.0004329874998827732
3.9008,0.00043184561512112443
3.905963,0.00043134938773751563
3.922277,0.00042978525567070717
3.9341,0.0004286552050092089
3.939279,0.0004281611653680613
3.955641,0.00042660394034605537
3.9675,0.0004254788904569192
3.972663,0.00042498997898207885
3.988977,0.00042344890700401306
4.0008,0.0004223355167442103
4.005963,0.00042185021727342547
4.022277,0.0004203205305021324
4.0341,0.0004192153658012308
4.039279,0.00041873220589447183
4.055641,0.00041720927406113266
4.0675,0.00041610900000565076
4.072663,0.0004156308553327891
4.088977,0.0004141237208212719
4.1008,0.0004130348496269218
4.105979,0.0004125588129743708
4.122341,0.00041105833381236995
4.1342,0.0004099742811603738
4.139363,0.0004095031858018391
4.155677,0.0004080182710608389
4.1675,0.0004069454531569391
4.172663,0.0004064778381796864
4.188977,0.000405003893764282
4.2008,0.0004039390016768522
4.205979,0.00040347344829711504
4.222341,0.0004020060126672087
4.2342,0.00040094583300825747
4.239363,0.00040048511210542576
4.255677,0.00039903289813704836
4.2675,0.0003979837058147207
4.272679,0.00039752501611515416
4.289041,0.0003960792149728771
4.3009,0.0003950346656034247
4.306063,0.0003945807371352795
4.322377,0.0003931499332407026
4.3342,0.0003921162092209399
4.339363,0.000391665634307686
4.355677,0.00039024540097595286
4.3675,0.000389219313952955
4.372679,0.00038877072551183505
4.389041,0.00038735676378303134
4.4009,0.0003863352174658624
4.406063,0.0003858912854043889
4.422377,0.00038449199065409656
4.4342,0.00038348103129091086
4.439379,0.00038303905641489874
