,A,B,C
4.5672,0.0005660538,0.0001305071,0.0003007388
4.6005,0.0005559588,0.0001348165,0.0003035314
4.6339,0.0005544986,0.0001297246,0.000311032
4.6672,0.0005491391,0.0001280114,0.0003169645
4.7005,0.0005489674,0.0001294261,0.0003189462
4.7339,0.0005458301,0.0001259879,0.0003260817
4.7672,0.0005352593,0.0001329424,0.0003267829
4.8006,0.0005377946,0.000123077,0.0003340876
4.8339,0.0005300648,0.0001280052,0.0003362552
4.8672,0.000527317,0.0001244416,0.0003431198
4.9006,0.0005249849,0.0001249626,0.0003461017
4.9339,0.000519892,0.0001224972,0.0003502122
4.9673,0.0005156669,0.0001226012,0.0003574479
5.0006,0.0005091826,0.0001243588,0.0003610587
5.0339,0.0005093564,0.0001224883,0.0003647087
5.0673,0.0005048465,0.0001200713,0.0003700202
5.1006,0.0005008647,0.0001201566,0.000376329
5.134,0.0004956035,0.0001194287,0.0003801435
5.1673,0.000493653,0.0001184774,0.0003840108
5.2006,0.000487075,0.0001185211,0.0003879527
5.234,0.000488578,0.0001144331,0.0003935518
5.2673,0.0004836259,0.000116439,0.0003961245
5.3007,0.0004768688,0.0001170347,0.0004002204
5.334,0.0004750401,0.0001157925,0.0004053818
5.3673,0.0004691857,0.0001152332,0.0004113082
5.4007,0.0004626313,0.0001180606,0.0004133547
5.434,0.0004693295,0.000112927,0.0004160017
5.4674,0.0004613003,0.0001147031,0.0004192462
5.5007,0.0004563932,0.0001135815,0.0004246055
5.534,0.0004531917,0.0001130779,0.0004309047
5.5674,0.0004512858,0.000112018,0.0004327814
5.6007,0.0004476573,0.0001134181,0.000434735
5.6341,0.0004431198,0.0001100392,0.0004443312
5.6674,0.0004433659,0.0001090755,0.0004462843
5.7007,0.0004369063,0.0001104467,0.000449849
5.7341,0.000434049,0.0001085987,0.0004537808
5.7674,0.0004323622,0.0001084618,0.0004574011
5.8008,0.0004298363,0.0001034318,0.0004620972
5.8341,0.0004241494,0.0001056789,0.0004660666
5.8674,0.0004206199,0.000109796,0.0004661206
5.9008,0.0004206246,0.0001004457,0.0004763937
5.9341,0.0004137048,0.0001106673,0.0004727206
5.9675,0.000412001,9.90E-05,0.0004836148
6.0008,0.0004100136,0.0001021414,0.0004851743
6.0341,0.0004086879,9.98E-05,0.0004892378
6.0675,0.0004038943,0.0001005589,0.0004924416
6.1008,0.0003982202,0.0001037926,0.000494066
6.1342,0.0003973805,0.0001009046,0.000498934
6.1675,0.0003946329,9.94E-05,0.0005019732
6.2008,0.0003932918,9.53E-05,0.0005085435
6.2342,0.0003890391,9.93E-05,0.0005070787
6.2675,0.0003868776,9.62E-05,0.0005118985
6.3009,0.0003838587,9.39E-05,0.0005188634
6.3342,0.0003801997,9.73E-05,0.0005205935
6.3675,0.0003717118,0.0001006134,0.0005223915
6.4009,0.0003731375,9.60E-05,0.0005286434
6.4342,0.0003727572,9.28E-05,0.0005327838
6.4676,0.0003665978,9.58E-05,0.0005355739
6.5009,0.000367526,9.34E-05,0.0005375174
6.5342,0.0003628653,9.26E-05,0.0005436926
6.5676,0.0003610523,9.17E-05,0.0005460745
6.6009,0.0003576078,9.16E-05,0.0005491697
6.6343,0.0003544175,9.04E-05,0.0005543714
6.6676,0.0003513094,9.29E-05,0.0005532657
6.7009,0.0003509093,8.92E-05,0.0005580951
6.7343,0.0003465887,9.06E-05,0.0005580619
6.7676,0.0003433789,9.27E-05,0.0005629517
6.801,0.0003404632,9.01E-05,0.000567814
6.8343,0.0003425492,8.71E-05,0.0005726743
6.8676,0.0003343055,8.80E-05,0.0005744743
6.901,0.0003365074,8.23E-05,0.0005828356
6.9343,0.000329451,8.64E-05,0.0005808061
6.9677,0.0003265635,8.76E-05,0.0005832097
7.001,0.0003279409,8.42E-05,0.0005862882
7.0343,0.0003243742,8.65E-05,0.0005883455
7.0677,0.0003213698,8.71E-05,0.0005894045
7.101,0.0003200981,8.27E-05,0.0005947424
7.1344,0.0003130267,8.78E-05,0.0005986927
7.1677,0.0003131011,8.37E-05,0.0006002101
7.201,0.0003137922,8.22E-05,0.0006027839
7.2344,0.0003078443,8.22E-05,0.0006064262
7.2677,0.0003058099,8.19E-05,0.0006093867
7.3011,0.0003072738,8.22E-05,0.0006107518
7.3344,0.0003004649,8.32E-05,0.0006141341
7.3677,0.000299474,8.07E-05,0.0006177751
7.4011,0.0002965046,8.30E-05,0.00061828
7.4344,0.0002949271,8.03E-05,0.0006252156
7.4678,0.0002930534,7.91E-05,0.0006275508
7.5011,0.0002901137,7.85E-05,0.0006280983
7.5344,0.0002914417,7.77E-05,0.0006329912
7.5678,0.0002862845,8.08E-05,0.0006310569
7.6011,0.0002860975,7.51E-05,0.0006380501
7.6345,0.0002857243,7.46E-05,0.0006403926
7.6678,0.0002774092,8.07E-05,0.0006423624
7.7011,0.0002795582,7.43E-05,0.0006468295
7.7345,0.0002780056,7.65E-05,0.0006460793
7.7678,0.0002752129,7.60E-05,0.0006488338
7.8012,0.0002732844,7.39E-05,0.00065269
7.8345,0.0002731512,7.23E-05,0.0006553726
7.8678,0.0002651311,7.54E-05,0.0006597119
7.9012,0.0002636271,7.78E-05,0.0006562849
7.9345,0.0002638095,7.38E-05,0.0006612337
7.9679,0.0002614236,7.35E-05,0.0006652
8.0012,0.0002611759,7.06E-05,0.0006696507
8.0345,0.0002572415,7.18E-05,0.0006706746
8.0679,0.0002562285,7.36E-05,0.0006713647
8.1012,0.0002539655,7.19E-05,0.0006740055
8.1346,0.0002525672,6.87E-05,0.0006786281
8.1679,0.0002493342,7.30E-05,0.0006766441
8.2012,0.0002473995,7.05E-05,0.0006808111
8.2346,0.0002463577,6.95E-05,0.0006847392
8.2679,0.000242921,7.02E-05,0.000687364
8.3013,0.0002381172,7.17E-05,0.0006892444
8.3346,0.0002414467,6.59E-05,0.0006933215
8.3679,0.0002388239,6.69E-05,0.0006944593
8.4013,0.0002365527,6.78E-05,0.000696747
8.4346,0.0002336076,6.86E-05,0.0006977022
8.468,0.0002299769,6.99E-05,0.000698631
8.5013,0.0002329325,6.61E-05,0.0007043847
8.5346,0.0002298184,6.57E-05,0.0007045935
8.568,0.0002267818,6.55E-05,0.0007054815
8.6013,0.0002250968,6.57E-05,0.0007111674
8.6347,0.0002243287,6.66E-05,0.0007132188
8.668,0.000220359,6.53E-05,0.0007153989
8.7013,0.0002214369,6.37E-05,0.000715804
8.7347,0.000220431,6.16E-05,0.0007177795
8.768,0.0002183935,5.97E-05,0.0007225563
8.8014,0.0002127717,6.72E-05,0.0007183486
8.8347,0.0002128135,6.24E-05,0.0007266964
8.868,0.0002105072,6.49E-05,0.0007247649
8.9014,0.0002116379,6.40E-05,0.000727359
8.9347,0.0002084798,6.35E-05,0.000731486
8.9681,0.0002078976,6.25E-05,0.0007316752
9.0014,0.0002021275,6.37E-05,0.0007329121
9.0347,0.0002068299,5.89E-05,0.0007360231
9.0681,0.0002012345,6.00E-05,0.000740004
9.1014,0.0002017467,6.05E-05,0.0007376948
9.1348,0.0001976574,6.34E-05,0.0007381389
9.1681,0.0001976672,5.98E-05,0.0007440992
9.2014,0.0001980471,5.90E-05,0.0007450065
9.2348,0.0001932335,6.03E-05,0.000745235
9.2681,0.0001927278,5.87E-05,0.0007497549
9.3015,0.0001913078,5.87E-05,0.0007509496
9.3348,0.000191009,5.76E-05,0.0007542156
9.3681,0.0001871295,5.88E-05,0.0007546763
9.4015,0.0001877376,5.77E-05,0.0007546646
9.4348,0.0001865883,5.43E-05,0.0007608035
9.4682,0.0001858522,5.69E-05,0.0007588089
9.5015,0.0001831192,5.52E-05,0.0007640046
9.5348,0.0001841544,5.24E-05,0.0007648407
9.5682,0.0001800215,5.80E-05,0.0007621582
9.6015,0.0001787136,5.64E-05,0.000765875
9.6349,0.0001815244,5.21E-05,0.0007688054
9.6682,0.0001799255,5.15E-05,0.0007701267
9.7015,0.0001742226,5.65E-05,0.0007715795
9.7349,0.0001726265,5.55E-05,0.000770541
9.7682,0.0001739832,5.35E-05,0.0007745274
9.8016,0.0001707817,5.34E-05,0.0007782001
9.8349,0.0001703042,5.36E-05,0.0007775591
9.8682,0.0001677963,5.54E-05,0.0007763656
9.9016,0.0001688308,5.23E-05,0.0007819212
9.9349,0.0001624916,5.49E-05,0.0007823875
9.9683,0.0001679112,4.81E-05,0.0007856162
10.0016,0.0001636341,5.45E-05,0.0007840833
10.0349,0.0001630645,4.95E-05,0.0007911238
10.0683,0.000158779,5.18E-05,0.0007900899
10.1016,0.0001595882,5.04E-05,0.0007927881
10.135,0.0001574175,5.04E-05,0.0007924359
10.1683,0.0001538294,5.41E-05,0.0007953729
10.2016,0.0001539519,4.94E-05,0.0007983683
10.235,0.0001531376,4.98E-05,0.0007980733
10.2683,0.0001526123,5.12E-05,0.0007973747
10.3017,0.0001482372,5.35E-05,0.0007989034
10.335,0.0001467761,5.43E-05,0.0007989397
10.3683,0.0001480198,5.00E-05,0.0008041985
10.4017,0.000145125,5.29E-05,0.0008030172
10.435,0.0001485629,4.99E-05,0.0008056452
10.4684,0.0001457606,5.01E-05,0.0008077566
10.5017,0.000143768,4.91E-05,0.0008080227
10.535,0.0001381191,5.24E-05,0.0008093883
10.5684,0.0001426823,4.62E-05,0.000813458
10.6017,0.0001398108,5.08E-05,0.0008108029
10.6351,0.0001397816,4.68E-05,0.0008157848
10.6684,0.000137282,4.70E-05,0.0008158394
10.7017,0.0001353786,4.75E-05,0.0008160368
10.7351,0.0001376678,4.62E-05,0.0008222122
10.7684,0.0001351824,4.62E-05,0.0008189904
10.8018,0.0001322369,4.79E-05,0.0008220373
10.8351,0.0001323618,4.77E-05,0.0008231562
10.8684,0.0001334723,4.48E-05,0.000823411
10.9018,0.0001324279,4.56E-05,0.0008255289
10.9351,0.0001298312,4.73E-05,0.0008251162
10.9685,0.0001303909,4.39E-05,0.0008290154
11.0018,0.0001298145,4.37E-05,0.0008299154
11.0351,0.0001270271,4.37E-05,0.0008305828
11.0685,0.0001277204,4.44E-05,0.0008291805
11.1018,0.0001262127,4.44E-05,0.0008335078
11.1352,0.0001225663,4.60E-05,0.0008332382
11.1685,0.0001249971,4.46E-05,0.0008352209
11.2018,0.0001198839,4.61E-05,0.0008343165
11.2352,0.0001221053,4.34E-05,0.0008360463
11.2685,0.0001173833,4.38E-05,0.0008373531
11.3019,0.0001212138,4.04E-05,0.0008411156
11.3352,0.0001191492,4.22E-05,0.0008402847
11.3685,0.0001198339,4.13E-05,0.000844033
11.4019,0.0001182164,4.45E-05,0.0008398104
11.4352,0.0001134582,4.37E-05,0.0008436974
11.4686,0.0001170012,4.16E-05,0.000844932
11.5019,0.0001149938,4.12E-05,0.0008485976
11.5352,0.0001114343,4.31E-05,0.0008476569
11.5686,0.0001101462,4.24E-05,0.0008472173
11.6019,0.0001127608,4.19E-05,0.0008485255
11.6353,0.0001140575,3.98E-05,0.0008529081
11.6686,0.0001086295,4.19E-05,0.0008505288
11.7019,0.0001124294,3.74E-05,0.0008530174
11.7353,0.0001101635,4.13E-05,0.0008528944
11.7686,0.0001088684,3.68E-05,0.0008570354
11.802,0.0001083827,4.10E-05,0.0008552907
11.8353,0.0001030674,4.27E-05,0.0008589172
11.8686,0.0001036905,4.21E-05,0.0008566307
11.902,0.0001030824,4.08E-05,0.0008585641
11.9353,0.000100544,4.32E-05,0.0008597428
11.9687,0.0001030707,3.77E-05,0.0008631058
