,B,C
2.121941,0.00016036254892173198,0.00022726523541054917
2.1338,0.0001603363824542691,0.00022898381832028145
2.138963,0.00016032368634107943,0.000229731985657303
2.155277,0.00016027844165407033,0.0002320954702549022
2.1671,0.00016024084101505257,0.00023380794771542655
2.172263,0.000160223168810988,0.00023455565759312037
2.188577,0.0001601623941881664,0.00023691754532057736
2.2004,0.0001601137191554422,0.00023862872343808267
2.205579,0.00016009118938604193,0.00023937807232754255
2.221941,0.00016001522488497577,0.00024174498845669953
2.2338,0.00015995568979149246,0.00024345966962013133
2.238963,0.00015992860721574252,0.0002442060268822305
2.255277,0.00015983846731928893,0.00024656335444088023
2.2671,0.00015976885538855309,0.00024827095907809627
2.272279,0.00015973724546776435,0.0002490186725829844
2.288641,0.00015963294969638798,0.00025138014435124374
2.3005,0.00015955321828607164,0.00025309061991809925
2.305663,0.00015951742983823136,0.00025383507874434725
2.321977,0.000159400127928955,0.00025618614303812365
2.3338,0.00015931115459350462,0.00025788896005966594
2.338963,0.0001592712697351455,0.0002586322797468241
2.355277,0.00015914118901437938,0.00026097962015332566
2.3671,0.0001590431085421358,0.0002626796214785123
2.372279,0.00015899915432746796,0.0002634239092537008
2.388641,0.00015885635177786066,0.0002657741803004904
2.4005,0.00015874917889780303,0.00026747618511102015
2.405663,0.00015870156373026573,0.00026821686432734304
2.421977,0.0001585473718807941,0.00027055562667587364
2.4338,0.0001584321115120093,0.0002722491906866182
2.438979,0.00015838070941920194,0.0002729906012821088
2.455341,0.00015821468006238875,0.000275331554301482
2.4672,0.000158090960621368,0.00027702659297438204
2.472363,0.0001580362157471707,0.0002777641840143559
2.488677,0.00015785979096861766,0.0002800929720438448
2.5005,0.0001577286936287471,0.00028177910400458735
2.505663,0.00015767060229687486,0.00028251499673800587
2.521977,0.00015748374395464958,0.00028483831699689427
2.5338,0.00015734521634700274,0.0002865203908647466
2.538979,0.00015728372966274904,0.00028725669069363976
2.555341,0.00015708625983784275,0.0002895811880412149
2.5672,0.00015694015118544554,0.00029126401235432265
2.572363,0.00015687576137085596,0.00029199621070553276
2.588677,0.00015666926939613107,0.00029430766661638633
2.6005,0.00015651676323674303,0.0002959809624449641
2.605679,0.00015644921945385436,0.0002967133705636094
2.622041,0.00015623287175530666,0.0002990253868961031
2.6339,0.00015607332577422594,0.00030069899265079876
2.639063,0.0001560031489089848,0.00030142713251311533
2.655377,0.0001557786225197302,0.00030372558923449716
2.6672,0.00015561328113854008,0.00030538929919558756
2.672363,0.00015554039642869013,0.00030611528597137086
2.688677,0.0001553074333822012,0.00030840685746625967
2.7005,0.00015513608938376203,0.0003100655003240756
2.705679,0.0001550603852376661,0.0003107914271723931
2.722041,0.00015481861383625703,0.0003130827164210401
2.7339,0.00015464098004143884,0.0003147410673853307
2.739063,0.00015456301564098694,0.0003154625051305114
2.755377,0.00015431422995529302,0.00031773954908221734
2.7672,0.0001541316319082341,0.0003193875186562929
2.772379,0.0001540510542058511,0.00032010873279031724
2.788741,0.0001537941055201664,0.00032238498316410606
2.8006,0.0001536056797989536,0.00032403229575666274
2.805763,0.00015352307062933794,0.0003247488915065914
2.822077,0.00015325982215311655,0.000327010495520916
2.8339,0.00015306694213643111,0.0003286471430081761
2.839063,0.00015298216820261917,0.00032936121972530075
2.855377,0.00015271218109442708,0.00033161479882302047
2.8672,0.0001525145122837126,0.00033324556876852644
2.872379,0.00015242741059986347,0.00033395919879706306
2.888741,0.000152150154453489,0.00033621128759669656
2.9006,0.00015194729808374151,0.0003378409032505636
2.905763,0.0001518584804778565,0.00033854974579274505
2.922077,0.000151575909906083,0.0003407866641436125
2.9339,0.0001513693024599665,0.0003424052444323213
2.939079,0.00015127833297292917,0.0003431135053207375
2.955441,0.00015098904392651615,0.0003453485119493727
2.9673,0.0001507776431299321,0.0003469656372361452
2.972463,0.00015068515114513358,0.0003476690130940543
2.988777,0.0001503911516396771,0.0003498885473172422
3.0006,0.00015017643075085373,0.00035149442425208213
3.005763,0.00015008223513738185,0.00035219499062097225
3.022077,0.0001497829386597131,0.00035440559625700776
3.0339,0.00014956445939461537,0.00035600495391758895
3.039079,0.00014946835540200957,0.00035670475532856494
3.055441,0.00014916310271224684,0.00035891287703390304
3.0673,0.00014894037585632718,0.0003605103715340356
3.072463,0.00014884301582722677,0.00036120516255974
3.088777,0.0001485338846329482,0.0003633974243718758
3.1006,0.00014830843129309072,0.00036498339773785745
3.105779,0.00014820931277355822,0.00036567731333010726
3.122141,0.00014789469456205932,0.00036786674645018124
3.134,0.0001476653295442917,0.0003694506108339588
3.139163,0.00014756511811816583,0.0003701394452972512
3.155477,0.00014724713068573384,0.0003723128002448694
3.1673,0.00014701540251944268,0.0003738849902125323
3.172463,0.00014691387833439307,0.00037457078877674624
