,AA,H2O,ASA,ASAA,SA,HA
72.6313665,1.63924725535e-22,2.47411941924,1.59407924878,3.44748689632e-24,0.134719102227,10.455332615
73.15768075,1.35657513433e-23,2.47727648789,1.58647089042,2.8348177068e-25,0.134891009074,10.4686740094
73.683995,1.12937839253e-24,2.48001181227,1.57987891209,2.34718164865e-26,0.13503995138,10.4802331629
74.21030925,9.36442520716e-26,2.48230985608,1.57434075538,1.9371721877e-27,0.135165083174,10.4899444211
74.7366235,7.70784695036e-27,2.48435130606,1.56942097537,1.58795631642e-28,0.13527624309,10.4985713444
75.26293775,6.7687022616e-28,2.48605542833,1.56531413622,1.38983534617e-29,0.135369035059,10.5057727612
75.789252,5.73993337209e-29,2.48753970761,1.56173710632,1.17493046625e-30,0.135449856283,10.5120451479
76.31556625,4.74087816022e-30,2.48883989517,1.55860372714,9.6778480214e-32,0.135520653465,10.5175395849
76.8418805,3.90245638079e-31,2.49000043584,1.55580688912,7.94782161799e-33,0.135583846685,10.5224438909
77.36819475,3.17232032242e-32,2.49101532044,1.55336107407,6.44738458532e-34,0.135639108736,10.5267326718
77.894509,2.52979722383e-33,2.4919140958,1.55119507576,5.13205514752e-35,0.135688048481,10.5305307889
78.42082325,1.91901454404e-34,2.49269176844,1.54932092818,3.88642390482e-36,0.135730394021,10.5338171404
78.9471375,1.41371193764e-35,2.49337728031,1.54766888292,2.8589741382e-37,0.135767721281,10.5367140315
79.47345175,1.0270132746e-36,2.49400524089,1.54615553303,2.07427728606e-38,0.135801914795,10.5393677178
79.999766,7.34387114833e-38,2.49456121232,1.54481567293,1.4816072447e-39,0.135832188402,10.5417171866
80.52608025,5.22439112334e-39,2.49503601767,1.54367141853,1.05298436212e-40,0.135858042406,10.5437236572
81.0523945,3.71845650559e-40,2.49551459903,1.54251806417,7.48745265874e-42,0.135884102016,10.5457460847
81.57870875,2.59469934763e-41,2.49590799712,1.54156999673,5.22047511687e-43,0.135905523282,10.547408538
82.105023,1.82397351011e-42,2.49628478369,1.54066196209,3.66703905953e-44,0.135926040027,10.5490007929
82.63133725,1.23910980258e-43,2.49659067014,1.53992479276,2.4895473985e-45,0.135942696164,10.5502934325
83.1576515,8.40794852386e-45,2.49689604002,1.53918886834,1.68824891463e-46,0.135959324171,10.5515838891
83.68396575,5.74711939619e-46,2.49719283442,1.53847361037,1.15328569037e-47,0.13597548523,10.5528381066
84.21028,4.32230930007e-47,2.49745040241,1.53785288582,8.66947838722e-49,0.135989510358,10.5539265582
84.73659425,3.29063836351e-48,2.49770090063,1.53724919902,6.59689981715e-50,0.136003150526,10.5549851337
85.2629085,2.60177436987e-49,2.49792350533,1.53671273407,5.21360741453e-51,0.136015271851,10.5559258345
85.78922275,1.72990787972e-50,2.49812728805,1.53622162901,3.46497170954e-52,0.136026368294,10.5567869959
86.315537,9.55546333185e-52,2.49830901881,1.53578366793,1.91317244738e-53,0.136036263977,10.5575549683
86.84185125,5.27688272659e-53,2.49845640874,1.53542846633,1.05622857353e-54,0.136044289754,10.5581778205
87.3681655,2.91355058633e-54,2.49860889284,1.53506098806,5.82998666409e-56,0.136052592914,10.5588222001
87.89447975,1.60835904521e-55,2.4987523969,1.5347151512,3.21739173492e-57,0.136060407097,10.5594286311
88.420794,8.87691021926e-57,2.49886657366,1.53443999149,1.77535046692e-58,0.136066624368,10.5599111284
88.94710825,4.89866528019e-58,2.49897978313,1.53416716288,9.79492052502e-60,0.136072788968,10.5603895381
89.4734225,8.76127829076e-60,2.49908787871,1.53390665846,1.75101518669e-61,0.136078675108,10.5608463371
89.99973675,4.83352024854e-61,2.49922118661,1.53358539376,9.66071190111e-63,0.136085934091,10.5614096803
90.526051,8.63449544571e-63,2.49929962973,1.53339635011,1.7244567562e-64,0.136090205612,10.5617411716
91.05236525,1.54189909018e-64,2.49938954622,1.53317965628,3.08758854142e-66,0.136095101872,10.5621211479
91.5786795,2.75220740712e-66,2.49946640066,1.53299444127,5.43675497266e-68,0.136099286885,10.5624459255
92.10499375,4.91097423264e-68,2.49957441654,1.53273412894,1.03215011933e-69,0.136105168678,10.5629023877
92.631308,8.75796913342e-70,2.49963883675,1.53257887971,1.31345129405e-71,0.136108676628,10.5631746198
93.15762225,1.56140589342e-71,2.49971843363,1.53238705556,6.80512475429e-73,0.136113010967,10.5635109867
93.6839365,2.78263914926e-73,2.49978716945,1.53222140597,-2.56839892824e-74,0.136116753904,10.5638014561
94.21025075,4.95744452444e-75,2.49985890491,1.5320485274,2.74506851981e-75,0.136120660176,10.5641046015
94.736565,8.82875799347e-77,2.49991343311,1.5319171174,-2.2237696749e-76,0.136123629487,10.5643350312
