,C,B,AH,A-,BH+,AC-,P
94.1111111111,0.0443964328521,6.95536900956e-05,0.23178910418,0.025051982296,0.0316049132384,0.00655293094244,0.0933520650613
94.8888888889,0.0445420841142,6.999294158e-05,0.230610630513,0.0250125805769,0.0315788154212,0.00656623484423,0.0942676469046
95.6666666667,0.044687172756,7.04349231981e-05,0.229433652882,0.0249733265262,0.0315527563919,0.00657942986574,0.0951821615392
96.4444444444,0.0448317204738,7.08796982826e-05,0.228258190891,0.024934216929,0.0315267359875,0.00659251905857,0.096095588398
97.2222222222,0.0449757484171,7.13273303268e-05,0.22708426353,0.0248952486593,0.031500754045,0.00660550538577,0.0970079075344
98.0,0.0451192772041,7.17778830166e-05,0.22591188919,0.0248564186769,0.0314748104016,0.00661839172468,0.0979190996041
98.7777777778,0.0452623269378,7.22314202635e-05,0.224741085682,0.0248177240249,0.0314489048945,0.00663118086962,0.0988291458466
99.5555555556,0.0454049172209,7.26880062365e-05,0.223571870253,0.0247791618267,0.0314230373612,0.00664387553453,0.0997380280679
100.333333333,0.0455470671704,7.31477053939e-05,0.222404259605,0.0247407292836,0.0313972076391,0.00665647835549,0.100645728624
101.111111111,0.0456887954323,7.36105825149e-05,0.221238269911,0.0247024236724,0.0313714155656,0.00666899189321,0.101552230402
101.888888889,0.0458301201945,7.40767027317e-05,0.220073916829,0.0246642423429,0.0313456609782,0.00668141863531,0.102457516809
102.666666667,0.045971059201,7.45461315601e-05,0.218911215522,0.0246261827154,0.0313199437141,0.00669376099866,0.103361571753
103.444444444,0.0461116297641,7.50189349316e-05,0.217750180665,0.0245882422791,0.0312942636106,0.00670602133152,0.104264379629
104.222222222,0.0462518487771,7.54951792244e-05,0.216590826467,0.0245504185891,0.0312686205047,0.00671820191568,0.105165925303
105.0,0.0463917327263,7.59749312944e-05,0.21543316668,0.024512709265,0.0312430142335,0.0067303049685,0.106066194104
105.777777778,0.0465312977029,7.64582585069e-05,0.214277214616,0.0244751119887,0.0312174446336,0.00674233264486,0.106965171802
106.555555556,0.0466705594141,7.69452287677e-05,0.213122983156,0.0244376245022,0.0311919115413,0.00675428703908,0.107862844601
107.333333333,0.0468095331941,7.74359105548e-05,0.211970484766,0.0244002446062,0.031166414793,0.00676617018676,0.108759199126
108.111111111,0.0469482340148,7.79303729493e-05,0.210819731508,0.0243629701578,0.0311409542243,0.00677798406652,0.109654222408
108.888888889,0.0470866755253,7.84286883587e-05,0.209670741125,0.0243257992985,0.0311155298051,0.00678973050658,0.110547897209
109.666666667,0.0472248729783,7.89309190967e-05,0.208523519118,0.0242887297677,0.0310901412468,0.00680141147913,0.111440215769
110.444444444,0.0473628403262,7.94371414707e-05,0.207378076399,0.0242517595799,0.0310647883787,0.00681302879874,0.112331166282
111.222222222,0.0475005911954,7.99474273308e-05,0.206234423519,0.0242148868025,0.0310394710346,0.00682458423208,0.113220737303
112.0,0.0476381388976,8.04618492539e-05,0.205092570675,0.0241781095503,0.0310141890479,0.00683607949756,0.114108917739
112.777777778,0.0477754964388,8.09804806154e-05,0.203952527731,0.0241414259853,0.0309889422514,0.00684751626617,0.114995696841
113.555555556,0.0479126765283,8.15033956213e-05,0.202814304219,0.0241048343148,0.0309637304776,0.00685889616277,0.11588106419
114.333333333,0.0480496915866,8.20306693408e-05,0.201677909352,0.0240683327905,0.0309385535579,0.00687022076743,0.11676500969
115.111111111,0.048186553754,8.25623777407e-05,0.200543352034,0.0240319197069,0.0309134113236,0.00688149161668,0.11764752356
115.888888889,0.0483232748979,8.30985977193e-05,0.19941064087,0.0239955934001,0.0308883036049,0.00689271020479,0.118528596321
116.666666667,0.0484598666208,8.36394071412e-05,0.19827978417,0.0239593522464,0.0308632302315,0.00690387798501,0.119408218789
117.444444444,0.0485963402675,8.41848848728e-05,0.197150789964,0.0239231946616,0.0308381910323,0.00691499637071,0.120286382068
118.222222222,0.0487327069321,8.47351108182e-05,0.196023666006,0.0238871190989,0.0308131858355,0.00692606673656,0.121163077542
119.0,0.0488689774654,8.52901659551e-05,0.194898419782,0.0238511240488,0.0307882144684,0.0069370904196,0.122038296861
119.777777778,0.0490051624812,8.58501323724e-05,0.193775058522,0.0238152080371,0.0307632767574,0.00694806872034,0.122912031942
120.555555556,0.0491412723629,8.64150933074e-05,0.192653589202,0.0237793696244,0.0307383725282,0.00695900290376,0.123784274954
121.333333333,0.0492773172703,8.69851331843e-05,0.191534018556,0.0237436074049,0.0307135016053,0.00696989420035,0.124655018317
122.111111111,0.0494133071453,8.75603376531e-05,0.19041635308,0.0237079200054,0.0306886638125,0.00698074380707,0.125524254687
122.888888889,0.049549251718,8.81407936292e-05,0.189300599041,0.0236723060841,0.0306638589724,0.00699155288825,0.126391976957
123.666666667,0.0496851605127,8.8726589334e-05,0.188186762483,0.0236367643301,0.0306390869066,0.00700232257655,0.127258178246
