,A
1.255077,0.0007751601756720203
1.2669,0.0007731220176437319
1.272079,0.0007722309683348782
1.288441,0.0007694223591383267
1.3003,0.0007673932204971192
1.305463,0.0007665114203429147
1.321777,0.0007637319447571911
1.3336,0.0007617238354095744
1.338763,0.0007608485498615858
1.355077,0.0007580896086212484
1.3669,0.0007560963348818769
1.372079,0.0007552249082490194
1.388441,0.0007524781502067373
1.4003,0.0007504936972296251
1.405463,0.0007496313160666564
1.421777,0.0007469130500552134
1.4336,0.0007449491632648687
1.438779,0.0007440905841248238
1.455141,0.0007413843216938484
1.467,0.0007394291256207591
1.472163,0.0007385794585927218
1.488477,0.0007359012681329409
1.5003,0.0007339663350381486
1.505463,0.0007331229452216497
1.521777,0.0007304645408280584
1.5336,0.0007285439027264194
1.538779,0.0007277042312047463
1.555141,0.0007250575660489342
1.567,0.0007231454272776912
1.572163,0.0007223144716056138
1.588477,0.0007196952602204209
1.6003,0.0007178029381964367
1.605479,0.0007169756460001513
1.621841,0.0007143680007804813
1.6337,0.0007124840527807779
1.638863,0.000711665347935818
1.655177,0.0007090847517342531
1.667,0.0007072203283223675
1.672163,0.0007064076719450187
1.688477,0.0007038461407980196
1.7003,0.0007019954914644108
1.705479,0.0007011864178858388
1.721841,0.00069863619819442
1.7337,0.0006967937384724408
1.738863,0.0006959930631346579
1.755177,0.0006934692967882279
1.767,0.0006916459316838542
1.772179,0.0006908487863234405
1.788541,0.0006883361646671525
1.8004,0.0006865208684344945
1.805563,0.0006857319974991244
1.821877,0.0006832454391846434
1.8337,0.0006814489560565487
1.838863,0.0006806659131803764
1.855177,0.0006781977251827694
1.867,0.000676414514200407
1.872179,0.0006756349235644893
1.888541,0.0006731776348288066
1.9004,0.0006714023150255746
1.905563,0.0006706308165954224
1.921877,0.0006681990172349813
1.9337,0.0006664420962343748
1.938879,0.0006656739991479012
1.955241,0.0006632529383609408
1.9671,0.0006615037921993584
1.972263,0.0006607436680147971
1.988577,0.0006583477208117574
2.0004,0.0006566167021981984
2.005563,0.000655862193696186
2.021877,0.000653483947388829
2.0337,0.0006517657172790668
2.038879,0.0006510145352163879
2.055241,0.0006486467909977897
2.0671,0.0006469361645096503
2.072263,0.000646192779769744
2.088577,0.0006438495960840563
2.1004,0.0006421566979393194
2.105579,0.0006414165905968606
2.121941,0.000639083754167035
2.1338,0.0006373983475432914
2.138963,0.0006366659225672285
2.155277,0.0006343572845729686
2.1671,0.0006326893449226442
2.172263,0.000631962330991566
2.188577,0.0006296707488657546
2.2004,0.0006280151317013838
2.205579,0.0006272913229929503
2.221941,0.0006250098602558706
2.2338,0.0006233615696343178
2.238963,0.0006226452741113097
2.255277,0.0006203874769121704
2.2671,0.0006187562686065811
2.272279,0.0006180431310514367
2.288641,0.0006157953040503006
2.3005,0.0006141713142718886
2.305663,0.0006134655791348461
2.321977,0.0006112410687692677
2.3338,0.0006096339094612553
2.338963,0.0006089333881887022
2.355277,0.0006067253121693712
2.3671,0.0006051300263113332
2.372279,0.0006044325934619174
2.388641,0.0006022342680770224
2.4005,0.0006006460417798522
2.405663,0.0005999558483325857
2.421977,0.0005977803261046109
2.4338,0.000596208559637446
2.438979,0.0005955214090805173
2.455341,0.0005933554937328159
2.4672,0.0005917906827470079
2.472363,0.0005911106648613078
2.488677,0.0005889672164822766
2.5005,0.0005874186226582563
2.505663,0.0005867436286418808
2.521977,0.0005846160157353969
2.5338,0.00058307886268841
2.538979,0.0005824068445518819
2.555341,0.0005802886269630821
2.5672,0.0005787582762239346
2.572363,0.0005780932336830444
2.588677,0.0005759969882956305
2.6005,0.0005744824975841502
2.605679,0.00057382038704954
2.622041,0.0005717333984641028
2.6339,0.0005702256097736472
2.639063,0.0005695703719930684
2.655377,0.0005675050316715922
2.6672,0.0005660128691835067
2.672363,0.0005653624722005824
2.688677,0.0005633123903011336
2.7005,0.0005618312516839035
2.705679,0.0005611837221386564
2.722041,0.0005591426931880146
2.7339,0.0005576681089999917
2.739063,0.0005570273008570783
2.755377,0.0005550074434326174
2.7672,0.0005535481413269442
2.772379,0.0005529101583469097
2.788741,0.0005508992204031125
2.8006,0.000549446376094321
2.805763,0.0005488150154226001
2.822077,0.0005468249368719594
2.8339,0.0005453871493409012
