,B,C
2.905763,0.00015122949793940614,0.00033714750682768777
2.922077,0.00015094809774649436,0.00033937516008793796
2.9339,0.00015074234604762032,0.0003409870363800344
2.939079,0.00015065175334704037,0.00034169236372315185
2.955441,0.0001503636625067347,0.00034391811317933073
2.9673,0.00015015313731096824,0.0003455285404959625
2.972463,0.00015006102841865951,0.00034622900304187744
2.988777,0.00014976824662955754,0.00034843934417775485
3.0006,0.00014955441509303952,0.0003500385697319953
3.005763,0.0001494606096283159,0.0003507362344255119
3.022077,0.0001491625528065273,0.00035293768395554595
3.0339,0.0001489449784605511,0.00035453041723770536
3.039079,0.00014884927252100785,0.00035522732014168655
3.055441,0.00014854528415715615,0.0003574262960292142
3.0673,0.00014832347981345165,0.00035901717386794803
3.072463,0.0001482265230397905,0.00035970908713916903
3.088777,0.00014791867223579817,0.00036189226882357554
3.1006,0.00014769415270097787,0.0003634716732475362
3.105779,0.00014759544472037496,0.0003641627147112599
3.122141,0.00014728212962583526,0.00036634307941976215
3.134,0.00014705371461488093,0.00036792038359671075
3.139163,0.0001469539182543937,0.0003686063649770016
3.155477,0.00014663724789389492,0.0003707707181072198
3.1673,0.0001464064795223403,0.00037233639622231003
3.172463,0.0001463053758402447,0.00037301935427791076
3.188777,0.00014598464722396793,0.0003751741152629634
3.2006,0.00014575100558692896,0.0003767328045321834
3.205779,0.00014564835724906102,0.0003774147419931064
3.222141,0.0001453228108790608,0.00037956622183537024
3.234,0.00014508573661757053,0.0003811224800436307
3.239163,0.0001449822233929651,0.0003817992693293512
3.255477,0.00014465401942369754,0.000383934466423025
3.2673,0.00014441508946972794,0.0003854789087559609
3.272479,0.00014431015865339698,0.0003861545882025914
3.288841,0.0001439775346418684,0.00038828622584450955
3.3007,0.00014373545676506474,0.0003898280388635188
3.305863,0.0001436297976844214,0.0003904985221634386
3.322177,0.00014329494251531924,0.00039261372985370735
3.334,0.00014305131309772358,0.00039414362440641287
3.339163,0.00014294467596767874,0.0003948109129198004
3.355477,0.00014260679168531573,0.0003969159967480828
3.3673,0.00014236102432024263,0.0003984385265159235
3.372479,0.00014225314530812912,0.00039910458513961185
3.388841,0.00014191139092892627,0.0004012057352950283
3.4007,0.00014166286929346845,0.00040272536932272387
3.405863,0.00014155444967405765,0.000403386174609987
3.422177,0.00014121104980702266,0.00040547072009871097
3.434,0.00014096139428542586,0.0004069783146417663
3.439179,0.00014085184079796502,0.0004076378184667845
3.455541,0.00014050490888409844,0.0004097182072840585
3.4674,0.000140252741052155,0.0004112227474253599
3.472563,0.00014014276147422718,0.00041187696881756717
3.488877,0.00013979454143010222,0.00041394066467364946
3.5007,0.00013954149450961812,0.00041543310474847307
3.505863,0.0001394308147663377,0.00041608400552979526
3.522177,0.000139080433995815,0.00041813718843634683
3.534,0.0001388258694523707,0.00041962198968489557
3.539179,0.0001387142050938707,0.00042027149338195357
3.555541,0.0001383607593645732,0.00042232022184984997
3.5674,0.00013810401680493448,0.00042380175699255205
3.572563,0.00013799208335574738,0.0004244459469700427
3.588877,0.0001376378393584472,0.0004264778885938477
3.6007,0.0001373805669215051,0.00042794726028561346
3.605879,0.0001372677405320366,0.00042858999661743387
3.622241,0.00013691071845592392,0.0004306173077815288
3.6341,0.00013665147330562663,0.00043208328832761216
3.639263,0.00013653847343763877,0.0004327206976353891
3.655577,0.000136180951373185,0.0004347311829340469
3.6674,0.0001359213889401374,0.0004361849745731069
3.672563,0.0001358079227843114,0.00043681897591106865
3.688877,0.00013544897072095095,0.0004388186793661775
3.7007,0.00013518841252183544,0.0004402646439864921
3.705879,0.0001350741799905799,0.0004408971167904162
3.722241,0.00013471284588409814,0.00044289195690086025
3.7341,0.00013445059836613107,0.0004443343651038209
3.739263,0.00013433632314739427,0.00044496150122465755
3.755577,0.00013397489701338794,0.0004469394890585689
3.7674,0.00013371262291852692,0.00044836969305979424
3.772579,0.00013359765899031317,0.00044899525681462257
3.788941,0.0001332340938215354,0.00045096824511468684
3.8008,0.00013297030428299688,0.0004523947961615739
3.805963,0.0001328553771240744,0.00045301502308491096
3.822277,0.00013249196772371734,0.0004549711611233436
3.8341,0.00013222832814163696,0.00045638551175421384
3.839263,0.0001321131309079958,0.0004570022756740086
3.855577,0.0001317489044205382,0.00045894746396117506
3.8674,0.00013148470666006842,0.00046035387149118715
3.872579,0.0001313689278330589,0.0004609690057222391
3.888941,0.00013100289744020992,0.0004629090165516414
3.9008,0.00013073742400082178,0.00046431164518094824
3.905963,0.0001306217903458662,0.0004649214508956454
3.922277,0.0001302562537235016,0.0004668446411072591
3.9341,0.00012999117097582346,0.000468235093960357
3.939279,0.00012987502138703656,0.0004688432369278333
3.955641,0.00012950788626852225,0.0004707611471990784
3.9675,0.00012924167478382232,0.00047214774872953173
3.972663,0.00012912573602938467,0.0004727505739367001
3.988977,0.0001287592993737091,0.00047465169960544826
4.0008,0.00012849362432699226,0.0004760261533615959
4.005963,0.00012837757949485696,0.00047662548760296365
4.022277,0.00012801083789501877,0.00047851558016548206
4.0341,0.00012774497018544178,0.0004798820350950256
4.039279,0.00012762849987062614,0.0004804796641169066
4.055641,0.0001272604427171255,0.00048236434527340643
4.0675,0.00012699364865316796,0.0004837268561684717
4.072663,0.00012687747846767806,0.00048431919059972365
4.088977,0.00012651039807492286,0.00048618716310457283
4.1008,0.00012624433854185947,0.00048753758383711523
4.105979,0.0001261277982477235,0.0004881281890879103
4.122341,0.00012575957550168976,0.0004899906761623092
4.1342,0.000125492713485061,0.0004913371007939803
4.139363,0.00012537652721509167,0.0004919224311929349
4.155677,0.00012500944915486256,0.0004937682736267935
4.1675,0.0001247434411563997,0.0004951026560253982
4.172663,0.000124627285269371,0.0004956844900755192
4.188977,0.00012426032828095085,0.0004975192865499572
4.2008,0.00012399443153920183,0.0004988456647033117
4.205979,0.00012387798172184406,0.0004994257396251754
4.222341,0.00012351012062832966,0.0005012549583779439
4.2342,0.00012324359177206469,0.0005025772757357402
4.239363,0.00012312756898230298,0.0005031521111687353
4.255677,0.00012276107997159303,0.0005049647992237602
4.2675,0.0001224955668750264,0.0005062751589936767
4.272679,0.00012237929672217294,0.0005068482189995379
4.289041,0.0001220120492294654,0.0005086552792717401
4.3009,0.00012174600813667121,0.0005099615433156524
4.306063,0.00012163020887876144,0.0005105293909156898
4.322377,0.00012126447006550365,0.0005123200073778323
4.3342,0.00012099954184735972,0.0005136143780349133
4.339363,0.00012088388591551501,0.0005141787426440811
4.355677,0.00012051862063716749,0.0005159583587906767
4.3675,0.00012025405499590792,0.0005172447615057801
4.372679,0.00012013821566177843,0.0005178073312728664
4.389041,0.00011977239189292769,0.0005195812602833838
4.4009,0.00011950744122346825,0.0005208635261280047
4.406063,0.00011939213191328239,0.0005214209287777565
4.422377,0.00011902800087548927,0.0005231785588278535
4.4342,0.00011876429387002334,0.0005244490379045952
4.439379,0.00011864884018842227,0.0005250046358467659
4.455741,0.00011828427268511008,0.0005267565488154311
4.4676,0.0001180202678682793,0.0005280228704714666
4.472763,0.00011790537954365439,0.0005285733343282043
4.489077,0.00011754261470701947,0.0005303090537413064
4.5009,0.00011727993163210086,0.0005315636659891292
4.506063,0.00011716527950983113,0.000532110675677337
4.522377,0.00011680327791456023,0.0005338354886682471
4.5342,0.00011654116386167189,0.0005350822036712844
4.539379,0.00011642642087699469,0.000535627398065495
4.555741,0.00011606415008145252,0.0005373464622230544
4.5676,0.00011580185774673446,0.0005385889983889117
4.572763,0.0001156877274476123,0.0005391291119815874
4.589077,0.00011532740650785363,0.0005408321523104406
4.6009,0.00011506654038477606,0.0005420631033554057
4.606079,0.00011495235180908408,0.0005426013971708198
4.622441,0.0001145918635141178,0.0005442986755454734
4.6343,0.00011433089187368871,0.0005455254392260354
4.639463,0.00011421734406330425,0.0005460586900338522
4.655777,0.00011385889290290598,0.0005477400647944049
4.6676,0.00011359940937629737,0.0005489553312252763
4.672763,0.00011348617353990389,0.0005494851693568139
4.689077,0.00011312872183838147,0.0005511557710989512
4.7009,0.00011286997553456425,0.0005523632391274433
4.706079,0.00011275672599549114,0.0005528912542663053
4.722441,0.00011239924622816078,0.0005545560853400162
4.7343,0.0001121404939016172,0.000555759361047265
4.739463,0.0001120279224350802,0.0005562823928174222
4.755777,0.00011167259568978581,0.0005579315097569915
4.7676,0.00011141541360077287,0.0005591234265118961
4.772779,0.00011130285550970384,0.0005596446352897353
4.789141,0.00011094758529957555,0.0005612879824509753
4.801,0.00011069045760341562,0.0005624757083654831
4.806163,0.00011057859951003824,0.0005629919753226902
4.822477,0.00011022555037802309,0.0005646197402259647
4.8343,0.00010997004109970409,0.0005657962033234019
4.839463,0.0001098585561895159,0.000566309109385878
4.855777,0.00010950669719858998,0.0005679262667406751
4.8676,0.00010925206078979922,0.0005690950531010115
4.872779,0.00010914062619640924,0.0005696061390811975
4.889141,0.00010878893913389137,0.000571217537081388
4.901,0.00010853443950065239,0.0005723821413114214
4.906163,0.00010842373371639275,0.0005728883500729047
4.922477,0.00010807435708616762,0.0005744843707006749
4.9343,0.00010782153905564922,0.0005756378613175891
4.939479,0.00010771090596358049,0.0005761422537131438
4.955841,0.00010736177113973714,0.0005777325274840784
4.9677,0.00010710913975772477,0.0005788818457386324
4.972863,0.00010699925218729607,0.0005793814053632149
4.989177,0.000106652479573275,0.000580956442630847
5.001,0.00010640156635611408,0.0005820947497668211
5.006163,0.00010629210079683188,0.0005825910085420374
5.022477,0.00010594667029483372,0.0005841556294640922
5.0343,0.00010569673792197296,0.000585286399823663
5.039479,0.00010558737548210573,0.0005857808502048861
5.055841,0.00010524228178659134,0.0005873397505021513
5.0677,0.00010499260384277691,0.0005884663684921588
5.072863,0.0001048840085478758,0.0005889560544884341
5.089177,0.00010454134397029119,0.0005904999348918087
5.101,0.00010429343135776269,0.0005916156992461047
5.106179,0.00010418495754600895,0.0005921035836256154
5.122541,0.00010384268709438605,0.0005936417654586641
5.1344,0.00010359506979199593,0.0005947533940298658
5.139563,0.00010348737543232361,0.0005952365606488515
5.155877,0.00010314757212068378,0.0005967598701924881
5.1677,0.00010290174689627322,0.000597860752370678
5.172863,0.00010279451286533163,0.0005983406847286505
5.189177,0.00010245617077838003,0.0005998537894824962
5.201,0.00010221141088833808,0.0006009472892948226
5.206179,0.000102104323213831,0.0006014254321626234
5.222541,0.00010176645286702403,0.0006029328775463637
5.2344,0.000101522043620008,0.0006040222708175523
5.239563,0.00010141575095322758,0.000604495767098559
5.255877,0.0001010803957103038,0.0006059885654150222
5.2677,0.00010083781219129803,0.0006070673758349746
5.272879,0.0001007316808262461,0.0006075390919053305
5.289241,0.00010039684394238632,0.0006090262607142949
5.3011,0.0001001546442867293,0.0006101009867462077
5.306263,0.00010004931652262388,0.0006105681044206007
5.322577,9.971702117044053e-05,0.0006120407785967267
5.3344,9.947666571817996e-05,0.0006131050324087869
5.339563,9.937182769415049e-05,0.0006135689874939473
5.355877,9.904108483946671e-05,0.0006150316842262412
5.3677,9.880185931701508e-05,0.0006160887212719792
5.372879,9.869720273815434e-05,0.0006165509116546394
5.389241,9.836704105177828e-05,0.0006180080286278335
5.4011,9.812824412699533e-05,0.0006190610180441172
5.406263,9.802440159657884e-05,0.0006195186831522418
5.422577,9.769681346045253e-05,0.0006209615367050585
5.4344,9.745988301526121e-05,0.0006220042216313579
5.439579,9.735623396595103e-05,0.0006224601333430984
5.455941,9.702926451087933e-05,0.0006238974433185789
5.4678,9.679278936515812e-05,0.0006249361072692158
5.472963,9.66899598356559e-05,0.0006253875429498762
5.489277,9.636558061466463e-05,0.0006268107451655743
5.5011,9.613098347453705e-05,0.0006278392175022958
5.506263,9.602866556510742e-05,0.0006282875661133462
5.522577,9.57059065757008e-05,0.0006297010301593107
5.5344,9.547248714302729e-05,0.0006307224597586551
5.539579,9.537037883540549e-05,0.0006311690732050531
5.555941,9.504828874591711e-05,0.0006325770519108178
5.5678,9.481536033499592e-05,0.000633594503335491
5.572963,9.47140777078233e-05,0.0006340367151138102
5.589277,9.439459649238738e-05,0.0006354308210586181
5.6011,9.41635588231382e-05,0.0006364382512154691
5.606279,9.406249536110722e-05,0.0006368787407572626
5.622641,9.374371281999463e-05,0.0006382674025965208
5.6345,9.351318733568985e-05,0.000639270884826804
5.639663,9.341295241020606e-05,0.0006397070225654113
5.655977,9.309678726619308e-05,0.0006410819691847959
5.6678,9.286815823120034e-05,0.0006420755443084303
5.672963,9.276845045232434e-05,0.0006425086733012332
5.689277,9.245395341997714e-05,0.0006438741296914937
5.7011,9.222653568806705e-05,0.0006448608422059981
5.706279,9.212705977884588e-05,0.0006452922693583802
5.722641,9.181330094889018e-05,0.0006466523466188462
5.7345,9.158642347300846e-05,0.000647635158797555
5.739663,9.148777867664981e-05,0.0006480623091597664
5.755977,9.117664470064023e-05,0.0006494089081396172
5.7678,9.095166843843197e-05,0.0006503819848579049
5.772979,9.085326297703864e-05,0.0006508074475862482
5.789341,9.054289041257474e-05,0.0006521487126486091
5.8012,9.031847087135219e-05,0.0006531179221039925
5.806363,9.022089719684239e-05,0.0006535391581679622
5.822677,8.991315120231216e-05,0.0006548671032464123
5.8345,8.969063373108102e-05,0.0006558266918858055
5.839663,8.959359738486145e-05,0.0006562449994526877
5.855977,8.928755068314308e-05,0.0006575637081617421
5.8678,8.906626618540803e-05,0.0006585166184572896
5.872979,8.896947898259562e-05,0.0006589332604762811
5.889341,8.866422415854945e-05,0.0006602467054973839
5.9012,8.844351796853854e-05,0.0006611957998479988
5.906363,8.834756214512121e-05,0.000661608290372052
5.922677,8.804493204132591e-05,0.0006629086527491465
5.9345,8.782612605446208e-05,0.0006638482981327368
5.939679,8.773042506288253e-05,0.0006642591383026011
5.956041,8.74286044863755e-05,0.0006655542852702836
5.9679,8.721038929440219e-05,0.0006664901499544458
5.973063,8.711551854430775e-05,0.0006668968887159355
5.989377,8.681631875363266e-05,0.0006681791111557986
6.0012,8.660000059600586e-05,0.0006691056413335956
6.006363,8.6505672874202e-05,0.0006695095330330793
6.022677,8.620818955856435e-05,0.0006707827765752
6.0345,8.59931160508367e-05,0.0006717028151640729
6.039679,8.589905051907193e-05,0.0006721050798833411
6.056041,8.560239953107913e-05,0.0006733731822419704
6.0679,8.538793292076504e-05,0.0006742894942769272
6.073063,8.529469475211035e-05,0.0006746877325037896
6.089377,8.50006549964833e-05,0.0006759431467969341
6.1012,8.478807806727202e-05,0.000676850295466679
