,r4,r5,v_sum,r0,r1,r2,r3,f,Csat
102.1049645,3.08003177129e-10,0.000239440669514,-3.16864010083e-05,1.36884862208e-103,6.81625893599e-102,-3.72661618324e-90,1.25787557692e-100,0.0,1.52810660784
102.63127875,3.06105786102e-10,5.57455547494e-05,-7.37707031835e-06,2.43043959131e-105,1.21022741847e-103,3.15598328028e-91,2.23340298565e-102,0.0,1.5297037761
103.157593,3.042313508e-10,0.000155568082203,-2.05871052403e-05,4.31527220157e-107,2.14865428224e-105,-2.6727235384e-92,3.96543153838e-104,0.0,1.52868856895
103.68390725,3.02379869314e-10,0.000113439922364,-1.50120667019e-05,7.66068950142e-109,3.81424749533e-107,2.2634389251e-93,7.03963465108e-106,0.0,1.52901194606
104.2102215,3.00550725967e-10,0.000139556355376,-1.84681904212e-05,1.35984500741e-110,6.77031793264e-109,-1.91681696885e-94,1.24960188262e-107,0.0,1.52871780924
104.73653575,2.98743565483e-10,0.000149939662786,-1.98422677194e-05,2.41357526487e-112,1.20159341971e-110,1.6232626127e-95,2.2179058458e-109,0.0,1.52856339081
105.26285,2.96958056094e-10,0.000138403918346,-1.83156827715e-05,4.28326656497e-114,2.13231134033e-112,-1.37465189394e-96,3.93602059191e-111,0.0,1.52860386103
105.78916425,2.95193849549e-10,0.000112577664355,-1.48979602952e-05,7.60036407168e-116,3.78349096917e-114,1.16410643525e-97,6.98419979334e-113,0.0,1.52878749758
106.3154785,2.934504689e-10,0.000121445795721,-1.60715264531e-05,1.34850751474e-117,6.71263609266e-116,-9.85801895183e-99,1.23918351887e-114,0.0,1.52865426578
106.84179275,2.9172749107e-10,0.000151185834974,-2.0007180841e-05,2.39238881814e-119,1.19082609725e-117,8.34802115101e-100,2.19843698194e-116,0.0,1.52832759919
107.368107,2.90024699122e-10,0.000130876370815,-1.73195238782e-05,4.24376388927e-121,2.11226190932e-119,-7.06924662928e-101,3.89972039475e-118,0.0,1.52844839239
107.89442125,2.88341784577e-10,9.35524638745e-05,-1.23802571213e-05,7.52691156697e-123,3.74627005697e-121,5.98630505084e-102,6.91670207869e-120,0.0,1.52875348634
108.4207355,2.86678322321e-10,8.43876792368e-05,-1.11674336159e-05,1.33489323914e-124,6.64379036915e-123,-5.06922922078e-103,1.22667295206e-121,0.0,1.52880709275
108.94704975,2.85033890092e-10,0.000107443129219,-1.42184814975e-05,2.36727354188e-126,1.17815222956e-124,4.29262458565e-104,2.1753578006e-123,0.0,1.5285391951
109.473364,2.83408150139e-10,0.000136089715135,-1.80094335034e-05,4.19773287462e-128,2.08904085359e-126,-3.63497305279e-105,3.85742111424e-125,0.0,1.52822133126
109.99967825,2.81800995969e-10,8.61862730457e-05,-1.14054513629e-05,7.44258011539e-130,3.70375708652e-128,3.07804774932e-106,6.83920737876e-127,0.0,1.52864766193
110.5259925,2.80211906477e-10,0.000112297463634,-1.4860881302e-05,1.3194842109e-131,6.56607750763e-130,-2.60643788168e-107,1.2125131341e-128,0.0,1.52835039926
111.05230675,2.78640658935e-10,0.000108599143229,-1.43714634587e-05,2.33906776017e-133,1.16393307203e-131,2.20707103716e-108,2.14943866268e-130,0.0,1.52833805768
111.578621,2.77086827026e-10,0.000153687081543,-2.03381852159e-05,4.1461766759e-135,2.06304862645e-133,-1.86888533835e-109,3.81004457916e-132,0.0,1.52787099992
112.10493525,2.75550568329e-10,2.79933184972e-05,-3.70447532493e-06,7.3481434636e-137,3.6562428236e-135,1.58250015289e-110,6.75242671234e-134,0.0,1.52912246911
112.6312495,2.74030817656e-10,0.000197186209892,-2.60946516219e-05,1.30233203957e-138,6.47961009258e-137,-1.34000219521e-111,1.19675149058e-135,0.0,1.52741506951
113.15756375,2.72528027032e-10,9.20660741586e-05,-1.21835569382e-05,2.30768904361e-140,1.14812817136e-138,1.13464757011e-112,2.12060382136e-137,0.0,1.52829262444
113.683878,2.71041614428e-10,0.000101162582159,-1.33873453407e-05,4.08884021764e-142,2.03421926837e-140,-9.60758049662e-114,3.75735639314e-139,0.0,1.52816191895
114.21019225,2.6957141408e-10,7.08225803662e-05,-9.37229509072e-06,7.24404566474e-144,3.60386057918e-142,8.13512192316e-115,6.65676813311e-141,0.0,1.5284318719
114.7365065,2.68117055449e-10,8.19789716883e-05,-1.08486785741e-05,1.2833280366e-145,6.38428090975e-144,-6.88830344454e-116,1.17928814434e-142,0.0,1.52828309097
115.26282075,2.66678455794e-10,2.46179242125e-05,-3.25779267173e-06,2.27329408992e-147,1.13090516365e-145,5.83254051628e-117,2.08899727085e-144,0.0,1.52892360042
115.789135,2.65255234673e-10,1.61336911989e-05,-2.1350300829e-06,4.02683005342e-149,2.00323279512e-147,-4.9385848807e-118,3.70037340107e-146,0.0,1.52903782173
116.31544925,2.63846922715e-10,9.81408764504e-05,-1.29874679784e-05,7.13307676372e-151,3.54837917766e-149,4.1816484818e-119,6.55479549598e-148,0.0,1.52806569627
116.8417635,2.62453575815e-10,6.51123330578e-05,-8.61662901433e-06,1.26342483555e-152,6.28481630841e-151,-3.54070359743e-120,1.16099849861e-149,0.0,1.52836924519
117.36807775,2.61074761542e-10,0.000110687068608,-1.46477711673e-05,2.23771354879e-154,1.11309122527e-152,2.99799036492e-121,2.05630124938e-151,0.0,1.52787223054
117.894392,2.5971049772e-10,5.76040912492e-05,-7.62302454849e-06,3.96287987555e-156,1.97118952703e-154,-2.53844308499e-122,3.64160767379e-153,0.0,1.52837788737
118.42070625,2.58360487991e-10,3.05840640943e-05,-4.04732381489e-06,7.01765760129e-158,3.49063959266e-156,2.1493287211e-123,6.44873338327e-155,0.0,1.5286827663
118.9470205,2.57023971505e-10,0.000225413946268,-2.98301765527e-05,1.24276933609e-159,6.18114221418e-158,-1.81986444184e-124,1.14201754385e-156,0.0,1.52677466243
119.47333475,2.55698134438e-10,0.00150642242426,-0.000199352697621,9.02724693691e-161,4.48756837842e-159,9.7115907532e-127,8.29540451758e-158,0.0,1.51880487799
119.999649,2.5438086325e-10,0.00357224549928,-0.00047273382013,6.56135579935e-162,3.25740148382e-160,-2.81125436196e-129,6.02942412712e-159,0.0,1.50849121968
120.52596325,2.5307138429e-10,0.00597298942417,-0.000790436762333,5.33615576169e-163,2.64331831955e-161,-1.82799270698e-131,4.90355152926e-160,0.0,1.49722586548
